date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,station,city
2014-07-01,27.2,21.1,32.8,19.4,31.7,13.3,40,1919,2012,0,0.1,5.91,KCLT,Charlotte
2014-07-02,29.4,23.3,35,20,31.7,13.3,38.3,2008,1931,0,0.1,1.53,KCLT,Charlotte
2014-07-03,27.8,21.7,33.9,20,31.7,13.3,37.2,2010,1931,0.14,0.11,2.5,KCLT,Charlotte
2014-07-04,23.9,17.8,30,20,31.7,12.8,37.2,1933,1955,0,0.1,2.63,KCLT,Charlotte
2014-07-05,22.2,15.6,28.9,20,31.7,13.9,37.8,1967,1954,0,0.1,1.65,KCLT,Charlotte
2014-07-06,23.3,16.1,30.6,20,31.7,13.9,37.2,1964,1948,0,0.1,1.95,KCLT,Charlotte
2014-07-07,26.1,19.4,32.8,20,31.7,12.8,37.8,1972,1954,0,0.11,2.37,KCLT,Charlotte
2014-07-08,28.3,22.2,34.4,20,31.7,14.4,38.3,1892,2010,0,0.11,1.87,KCLT,Charlotte
2014-07-09,26.7,21.7,31.7,20,31.7,13.9,38.3,1891,1986,0.15,0.12,3.71,KCLT,Charlotte
2014-07-10,25.6,21.7,29.4,20,31.7,11.7,38.3,1961,1926,0,0.11,2.45,KCLT,Charlotte
2014-07-11,25.6,20,30.6,20,31.7,12.8,37.8,1961,1986,0,0.12,3.1,KCLT,Charlotte
2014-07-12,26.1,19.4,32.8,20,31.7,15,38.9,1953,1930,0,0.11,1.95,KCLT,Charlotte
2014-07-13,27.2,20.6,33.3,20,31.7,13.3,37.8,1918,1986,0,0.12,2.09,KCLT,Charlotte
2014-07-14,29.4,23.3,35.6,20,31.7,15,38.9,2007,1954,0,0.12,2.15,KCLT,Charlotte
2014-07-15,27.2,19.4,34.4,20,31.7,14.4,37.8,2001,1893,0.87,0.12,4.61,KCLT,Charlotte
2014-07-16,24.4,18.9,29.4,20,31.7,14.4,37.8,2001,1887,0,0.12,1.47,KCLT,Charlotte
2014-07-17,23.3,17.2,28.9,20,31.7,16.7,37.8,1886,1986,0,0.12,4.14,KCLT,Charlotte
2014-07-18,25,21.1,28.3,20,31.7,16.7,38.9,1896,1887,0,0.12,1.82,KCLT,Charlotte
2014-07-19,21.1,18.9,23.3,20,31.7,15.6,39.4,2009,1986,0.17,0.12,2.3,KCLT,Charlotte
2014-07-20,23.3,18.3,28.3,20,31.7,15.6,38.3,1910,1986,0,0.12,1.25,KCLT,Charlotte
2014-07-21,23.3,21.1,25,20,31.7,13.9,39.4,1890,1986,1.3,0.12,3.83,KCLT,Charlotte
2014-07-22,26.1,22.2,29.4,20,31.7,14.4,39.4,2001,1926,0,0.12,2.56,KCLT,Charlotte
2014-07-23,26.7,20.6,32.2,20,31.7,13.3,38.3,2007,1987,0,0.13,6.88,KCLT,Charlotte
2014-07-24,26.7,21.7,31.7,20,31.7,15,37.8,1947,1952,0.06,0.12,2.83,KCLT,Charlotte
2014-07-25,25,20,30,20,31.7,16.7,38.3,1947,2010,0,0.13,2.34,KCLT,Charlotte
2014-07-26,25.6,18.9,31.7,20,31.7,15.6,37.8,1904,2005,0,0.13,2.84,KCLT,Charlotte
2014-07-27,26.7,21.1,32.2,20,31.7,13.9,39.4,1920,1940,0.18,0.13,2.46,KCLT,Charlotte
2014-07-28,26.1,20,32.2,20,31.7,12.2,38.9,1962,1952,0.06,0.13,2.98,KCLT,Charlotte
2014-07-29,22.8,16.7,28.3,20,31.7,15,39.4,1920,1952,0,0.14,2.04,KCLT,Charlotte
2014-07-30,23.3,17.2,29.4,20,31.7,14.4,38.3,1914,2011,0,0.14,4.24,KCLT,Charlotte
2014-07-31,22.2,18.3,25.6,20,31.7,13.3,37.8,1914,1999,1.45,0.14,1.45,KCLT,Charlotte
2014-08-01,20,18.3,21.1,20,31.7,14.4,36.7,1966,1957,2.39,0.14,2.39,KCLT,Charlotte
2014-08-02,20.6,18.3,22.2,20,31.7,15,36.7,1895,1942,0,0.14,2,KCLT,Charlotte
2014-08-03,25,19.4,30,20,31.7,15.6,36.7,1998,2011,0,0.15,4.51,KCLT,Charlotte
2014-08-04,25.6,20.6,30.6,20,31.7,14.4,36.7,1912,1935,0,0.15,2.59,KCLT,Charlotte
2014-08-05,25,18.3,31.1,20,31.7,12.8,37.8,1912,1954,0,0.15,3.01,KCLT,Charlotte
2014-08-06,25.6,20,31.1,20,31.1,13.9,38.9,1912,1956,0.17,0.14,3.19,KCLT,Charlotte
2014-08-07,25.6,19.4,31.1,20,31.1,10,37.8,2004,1963,0,0.13,1.53,KCLT,Charlotte
2014-08-08,25,22.8,27.2,20,31.1,12.8,38.9,2004,2007,0,0.13,1.37,KCLT,Charlotte
2014-08-09,24.4,20,28.9,20,31.1,13.3,40,2002,2007,0,0.13,1.26,KCLT,Charlotte
2014-08-10,21.1,19.4,22.8,20,31.1,13.3,40,1879,2007,0.01,0.13,2.26,KCLT,Charlotte
2014-08-11,25.6,21.7,29.4,20,31.1,14.4,36.7,1879,1956,0.58,0.13,3.04,KCLT,Charlotte
2014-08-12,27.2,22.2,31.7,20,31.1,13.9,37.8,1890,1925,0.31,0.13,2.25,KCLT,Charlotte
2014-08-13,23.9,18.3,28.9,20,31.1,13.9,38.9,1979,1956,0,0.14,1.27,KCLT,Charlotte
2014-08-14,21.7,15,28.3,20,31.1,13.9,36.7,1967,1925,0,0.14,2,KCLT,Charlotte
2014-08-15,22.8,15.6,30,20,31.1,12.8,37.2,1964,2007,0,0.14,3.17,KCLT,Charlotte
2014-08-16,25,20,30,20,31.1,13.9,38.9,1924,1954,0,0.14,2.51,KCLT,Charlotte
2014-08-17,25.6,19.4,31.7,19.4,31.1,12.8,36.1,1979,1911,0,0.14,2.92,KCLT,Charlotte
